Here is the table with all links in plain text format:

| Day | Prompt | Links |
| :--- | :--- | :--- |
| **JAN. 1** | One color, one shape. |  |
| **JAN. 2** | A video here is probably even better than reading the Wikipedia page: 12 Principles of Animation. | https://www.youtube.com/watch?v=haa7n3UGyDc |
| **JAN. 3** | Fibonacci forever. Create a work that uses the Fibonacci sequence in some way. |  |
| **JAN. 4** | Lowres. An image or graphic with low resolution, where details are simplified or pixelated. |  |
| **JAN. 5** | Write "Genuary". Avoid using a font. |  |
| **JAN. 6** | Lights on/off. Make something that changes when you switch on or off the "digital" lights. |  |
| **JAN. 7** | Boolean algebra. Get inspired by Boolean algebra, in any way. |  |
| **JAN. 8** | A City. Create a generative metropolis. |  |
| **JAN. 9** | Crazy automaton. Cellular automata with crazy rules. |  |
| **JAN. 10** | Polar coordinates. |  |
| **JAN. 11** | Quine. A Quine is a form of code poetry, it's a computer program that outputs exactly its own source code. |  |
| **JAN. 12** | Boxes only. |  |
| **JAN. 13** | Self portrait. For example, get started with a very basic human face... render some random variations as well. |  |
| **JAN. 14** | Everything fits perfectly. |  |
| **JAN. 15** | Create an invisible object where only the shadows can be seen. |  |
| **JAN. 16** | Order and disorder. |  |
| **JAN. 17** | Wallpaper group. There are only 17 ways to cover a plane with a repeating pattern. | https://en.wikipedia.org/wiki/Wallpaper_group<br>https://grahamshawcross.com/2012/10/12/classifying-symmetries/<br>https://en.wikipedia.org/wiki/List_of_planar_symmetry_groups |
| **JAN. 18** | Unexpected path. Draw a route that changes direction based on one very simple rule. |  |
| **JAN. 19** | 16x16 |  |
| **JAN. 20** | One line. An artwork that is made of a single line only. |  |
| **JAN. 21** | Bauhaus Poster. Create a poster design inspired by the German art school Bauhaus. |  |
| **JAN. 22** | Pen plotter ready. | https://genuary.art/tutorial/plotter |
| **JAN. 23** | Transparency. Explore the concept of transparency. |  |
| **JAN. 24** | Perfectionist's nightmare. |  |
| **JAN. 25** | Organic Geometry. Forms that look or act organic but are constructed entirely from geometric shapes. |  |
| **JAN. 26** | Recursive Grids. Split the canvas into a grid of some kind and recurse on each cell again and again. |  |
| **JAN. 27** | Lifeform. A shape or structure that behaves as if it's alive or growing. |  |
| **JAN. 28** | No libraries, no canvas, only HTML elements. |  |
| **JAN. 29** | Genetic evolution and mutation. |  |
| **JAN. 30** | Its not a bug, its a feature. |  |
| **JAN. 31** | GLSL day. Create an artwork using only shaders. |  |

I have formatted all the links as plain text URLs. Would you like me to provide additional information about any of these prompts or explain the concepts behind them?
